,i,interval,switchtype,density,radius,initialState,nsm,k,result
0,1,50,ksw,0.09,20,ordered,A,5-1,turned
1,2,50,ksw,0.09,20,ordered,A,5-1,turned
2,3,50,ksw,0.09,20,ordered,A,5-1,turned
3,4,50,ksw,0.09,20,ordered,A,5-1,turned
4,5,50,ksw,0.09,20,ordered,A,5-1,turned
5,6,50,ksw,0.09,20,ordered,A,5-1,turned
6,7,50,ksw,0.09,20,ordered,A,5-1,turned
7,8,50,ksw,0.09,20,ordered,A,5-1,turned
8,9,50,ksw,0.09,20,ordered,A,5-1,turned
9,10,50,ksw,0.09,20,ordered,A,5-1,turned
10,1,50,ksw,0.09,20,ordered,R,5-1,turned
11,2,50,ksw,0.09,20,ordered,R,5-1,turned
12,3,50,ksw,0.09,20,ordered,R,5-1,turned
13,4,50,ksw,0.09,20,ordered,R,5-1,turned
14,5,50,ksw,0.09,20,ordered,R,5-1,turned
15,6,50,ksw,0.09,20,ordered,R,5-1,turned
16,7,50,ksw,0.09,20,ordered,R,5-1,turned
17,8,50,ksw,0.09,20,ordered,R,5-1,turned
18,9,50,ksw,0.09,20,ordered,R,5-1,turned
19,10,50,ksw,0.09,20,ordered,R,5-1,turned
20,1,50,ksw,0.09,20,ordered,N,5-1,turned
21,2,50,ksw,0.09,20,ordered,N,5-1,not_turned
22,3,50,ksw,0.09,20,ordered,N,5-1,turned
23,4,50,ksw,0.09,20,ordered,N,5-1,turned
24,5,50,ksw,0.09,20,ordered,N,5-1,not_turned
25,6,50,ksw,0.09,20,ordered,N,5-1,not_turned
26,7,50,ksw,0.09,20,ordered,N,5-1,not_turned
27,8,50,ksw,0.09,20,ordered,N,5-1,turned
28,9,50,ksw,0.09,20,ordered,N,5-1,not_turned
29,10,50,ksw,0.09,20,ordered,N,5-1,turned
30,1,50,ksw,0.09,20,ordered,F,5-1,turned
31,2,50,ksw,0.09,20,ordered,F,5-1,turned
32,3,50,ksw,0.09,20,ordered,F,5-1,turned
33,4,50,ksw,0.09,20,ordered,F,5-1,turned
34,5,50,ksw,0.09,20,ordered,F,5-1,turned
35,6,50,ksw,0.09,20,ordered,F,5-1,turned
36,7,50,ksw,0.09,20,ordered,F,5-1,turned
37,8,50,ksw,0.09,20,ordered,F,5-1,turned
38,9,50,ksw,0.09,20,ordered,F,5-1,turned
39,10,50,ksw,0.09,20,ordered,F,5-1,turned
40,1,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
41,2,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
42,3,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
43,4,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
44,5,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
45,6,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
46,7,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
47,8,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
48,9,50,ksw,0.09,20,ordered,LOD,5-1,turned
49,10,50,ksw,0.09,20,ordered,LOD,5-1,not_turned
50,1,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
51,2,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
52,3,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
53,4,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
54,5,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
55,6,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
56,7,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
57,8,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
58,9,50,ksw,0.09,20,ordered,HOD,5-1,not_turned
